term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes
entrepreneur,doanh nhân/nhà khởi nghiệp,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
copyright,bản quyền,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
customers,khách hàng,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
develop,phát triển,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
ask,khoản yêu cầu (ask),other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
marketing,tiếp thị,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
people,con người (nguồn nhân lực),other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
place,phân phối (place),other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
process,quy trình,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
product,sản phẩm,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
accounting,kế toán,other,candidate,medium,auto_extraction,"chapter-1, chapter-2, chapter-3, chapter-4, chapter-5, chapter-6, chapter-7, chapter-8, chapter-9, chapter-10, chapter-11, chapter-12, chapter-13, chapter-14, chapter-15",,,false,Extracted via terminology_analysis_known
