term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
career entrepreneur,doanh nhân chuyên nghiệp,other,approved,medium,auto,,expert-reviewer,,false,Updated during verification,,,
disruptive technology,công nghệ đột phá,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,công nghệ đột phá,"technology that once introduced, displaces established patterns, processes, and systems previously accepted as normal or accepted methods","công nghệ khi được giới thiệu sẽ thay thế các mô hình, quy trình và hệ thống đã được chấp nhận trước đó như là chuẩn mực"
divergent thinking,tư duy phân kỳ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,tư duy phân kỳ,"process of generating as many ideas as possible, even when those ideas do not seem logical; the list of ideas can be conflicting, diverse, and disparate","quá trình tạo ra càng nhiều ý tưởng càng tốt, ngay cả khi những ý tưởng đó có vẻ không hợp lý; các ý tưởng có thể mâu thuẫn, đa dạng và rời rạc"
due diligence,thẩm định kỹ lưỡng,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 1, Chương 2",thẩm định kỹ lưỡng,conducting the necessary research and investigation to make informed decisions that minimize risk,quá trình tiến hành nghiên cứu và điều tra cần thiết nhằm đưa ra các quyết định có cơ sở và giảm thiểu rủi ro
entrepreneur,doanh nhân/nhà khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,doanh nhân/nhà khởi nghiệp,someone who identifies an idea that no one else has acted on or identified; small business ownership and franchising are also entrepreneurial options,người nhận diện một ý tưởng mà chưa ai phát hiện hoặc triển khai; việc sở hữu doanh nghiệp nhỏ hoặc nhượng quyền cũng được xem là các hình thức khởi nghiệp
entrepreneurial mindset,tư duy khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,tư duy khởi nghiệp,"awareness and focus on identifying an opportunity through solving a problem, and a willingness to move forward to advance that idea","khả năng nhận diện cơ hội thông qua việc giải quyết vấn đề, đi kèm với sự sẵn sàng hành động để hiện thực hóa ý tưởng đó"
entrepreneurial venture,dự án khởi nghiệp,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 1, Chương 2",dự án khởi nghiệp,"any business, organization, project, or operation of interest that includes a level of risk in acting on an opportunity that has not previously been established","bất kỳ hoạt động kinh doanh, tổ chức hoặc dự án nào có yếu tố rủi ro khi khai thác một cơ hội chưa từng được triển khai trước đó"
entrepreneurial vision,tầm nhìn khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,tầm nhìn khởi nghiệp,"idea of what an entrepreneur wants a venture to become, what it will look like, what the driving forces are, and what values and culture should surround it","hình dung về trạng thái tương lai của doanh nghiệp, bao gồm hình thái hoạt động, các động lực chính, cũng như các giá trị và văn hóa định hướng"
harvest,thoái vốn/hiện thực hóa giá trị,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,thoái vốn/hiện thực hóa giá trị,"point at which the venture is sold, at which time the investors receive a return on their investment","thời điểm doanh nghiệp được bán hoặc chuyển nhượng, khi đó các nhà đầu tư thu được lợi nhuận từ khoản đầu tư của mình"
lifestyle venture,doanh nghiệp phục vụ lối sống,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 1,doanh nghiệp phục vụ lối sống,"business whose founders’ primary focus is the lifestyle they will attain through becoming entrepreneurs, rather than a primary interest in financial rewards","doanh nghiệp mà mục tiêu chính của người sáng lập là đạt được phong cách sống mong muốn, thay vì tối đa hóa lợi nhuận tài chính"
